verb,verbs,nouns
quench,"['quench', 'quenched']","['thirst', 'revolution', 'lebanon', 'fire']"
mind,"['mind', 'minding']","['context', 'manner', 'time', 'business', 'one', 'haha', 'creation', 'skies', 'people', 'side', 'govt', 'father', 'press', 'gaffes', 'anything', 'theories', 'fans', 'guys', 'ireland', 'situation']"
reassert,"['reassert', 'reasserted']","['beliefs', 'secularism']"
seem,"['seem', 'seeming']","['walls', 'self', 'miseries', 'rainbows', 'problems', 'people', 'actions', 'world', 'sentimentalism', 'number', 'voters', 'focus', 'rest', 'lurks', 'default', 'distinction', 'facts', 'experiences', 'occurrence', 'moment', 'one', 'history', 'ideal', 'example', 'powers', 'government', 'calls', 'problem', 'ideas', 'necessity', 'threat', 'hope', 'children', 'relationship', 'none', 'girl', 'type', 'leagues', 'answers', 'markets', 'cries', 'dismissive', 'role', 'clamor', 'seem', 'elements', 'kings', 'members', 'documents', 'practice', 'clips', 'lot', 'seals', 'droppings', 'balloon', 'pattern', 'combination', '""loursin""', 'system', 'debacle', 'connection', 'line', 'songs', 'force', 'complexities', 'fact', 'authors', 'arguments', 'exchange', 'work', 'whole', 'waters', 'things', 'items', 'chemistry', 'believe', 'players', 'ish', 'matter', 'controversies', 'u', 'request', 'kick', 'cats', 'bees', 'midfielders', 'electronics', 'prices', 'choice', 'haters', 'websites', 'cultivation', 'infact', 'anything']"
seek,"['seek', 'seeks']","['knowledge', 'grace', 'explanation', 'buyer', 'bids', 'appellant', 'discipline', 'project', 'battery', 'relations', 'world', 'leader', 'package', 'treatment', 'strategy']"
ransack,"['ransack', 'ransacked']","['island', 'country', 'school']"
broadcast,"['broadcast', 'broadcasts']","['cup', 'music', 'scene', 'edge', 'programmes', 'times', 'programme', 'department', 'podcasts', 'sensor', 'summary', 'tool']"
probe,"['probe', 'probing']","['aid', 'records', 'reptile']"
explain,"['explain', 'explains']","['book', 'hypocrisy', 'situation', 'consequences', 'parents', 'reason', 'importance', 'injury', 'response', 'inheritance', 'differences', 'origin', 'capsules', 'steps', 'sports', 'process', 'join', 'successes', 'laws', 'order', 'rationale', 'topics', 'notes', 'procedures', 'ratios', 'formation', 'animosity', 'researchers', 'influences', 'models', 'rise', 'needs', 'dissatisfaction', 'time', 'meaning', 'connection', 'judges', 'movement', 'effect', 'behavior', 'system', 'universe', 'allure', 'name', 'use', 'njaro', 'significance', 'infertility', 'workchoices', 'culture', 'benefit', 'position', 'types', 'increase', 'theory', 'points', 'decisions', 'survey', 'meanings', 'everything', 'way', 'levels', 'delay', 'bonds', 'inertness', 'report', 'correspondence', 'plan', 'job', 'stances', 'eradication', 'case', 'modernising', 'point', 'actions', 'act', 'nature', 'distractions', 'chart', 'series', 'article', 'movie', 'ball', 'fellow', 'trauma', 'envy', 'paint', 'ways', 'sacrifice', 'counsellor', 'difference', 'page', 'features']"
cripple,"['cripple', 'crippled']","['opponents', 'u', 'attack']"
integrate,"['integrate', 'integrates', 'integrated']","['sources', 'technologies', 'details', 'acquisition', 'officials', 'approach', 'activities', 'message', 'output', 'feature']"
conduct,"['conduct', 'conducted']","['families', 'deal', 'enterprise', 'experiments', 'business', 'meeting', 'operations', 'camp', 'crews', 'attack', 'up', 'forces', 'elections', 'studies', 'verification', 'water', 'safaris', 'tasks', 'adultery', 'body', 'process', 'checks', 'reform', 'compliance', 'users', 'search', 'tests', 'exercise', 'conclusion', 'analysis', 'universities', 'check', 'test', 'praesidium', 'today', 'research', 'iri-9411306', 'policy', 'plane', 'government', 'experimentation', 'negotiations', 'survey', 'activity', 'procedure', 'year', 'study', 'analyses', 'committee', 'polls', 'classes']"
stop,"['stop', 'stops']","['bath', 'fixer', 'hate', 'child', 'action', 'orcs', 'spinning', 'invaders', 'infection', 'key', 'music', 'blobs', 'creeps', 'consideration', 'whistle', 'expert', 'feedback', 'escalation', 'delight', 'obl', 'age', 'ages', 'people', 'treatment', 'medicine', 'tilting', 'today', 'revolution', 'atrocity', 'killing', 'year', 'campaign', 'transfer', 'test', 'organisation', 'brain', 'madness', 'execution', 'captains', 'process', 'sucking', 'growth', 'rhetoric', 'murderers', 'expression', 'relationships', 'work', 'babies', 'nightmares', 'hundreds', 'state', 'government', 'infighting', 'result', 'discussion', 'tantrums', 'aid', 'onslaught', 'nothing', 'community', 'factories', 'news', 'anyone', 'pressure', 'aggression', 'rockets', 'gossip', 'flow', 'organization', 'job', 'freedom', 'exodus', 'boy', 'boat', 'boats', 'crime', 'shouting', 'morality', 'patients', 'emissions', 'cycles', 'assault', 'couple', 'grudge', 'screen', 'meeting', 'stories', 'authors', 'signs', 'lights', 'percent', 'effect', 'living', 'hospitals', 'construction', 'practice', 'efforts', 'everything', 'expansion', 'messin', 'time', 'flyers', 'emails', 'calls', 'mail', 'rain', 'air', '114a', 'problem', 'notion', 'destruction', 'doors', 'journey', 'teams', 'team', 'cops', 'letters', 'kick', 'activities', 'program', 'species', 'horse', 'blood', 'director', 'proceedings', 'bus', 'mane', 'person', 'clock', 'car', 'gravity', 'buck', 'tax', 'descent', 'enemy', 'man', 'dehydrohalogenation', 'conditions', 'noise']"
perceive,"['perceive', 'perceives', 'perceived']","['senses', 'meditator', 'mind', 'role', 'people', 'situation', 'one', 'observer', 'crest', 'combination', 'mothers', 'daughters', 'career', 'women', 'world', 'men', 'hemisphere', 'value', 'sense', 'country', 'whom', 'sadness', 'things', 'way', 'organization', 'significance', 'characteristics', 'object', 'brotherhood', 'public', 'dawn', 'say', 'acknowledgement', 'dimensions', 'herpes', 'parents', 'musicians']"
meditate,"['meditate', 'meditated']",[]
comply,"['comply', 'complying']","['men', 'designers', 'members']"
reload,"['reload', 'reloaded']","['key', 'g', 'myasylum']"
reference,"['reference', 'references', 'referenced']","['name', 'material', 'post', 'key', 'grandmothers', 'columns', 'someone']"
imitate,"['imitate', 'imitates']",['works']
distill,"['distill', 'distilled']","['science', 'evil']"
subject,"['subject', 'subjecting']","['audience', 'soldiers', 'man', 'child']"
scrap,"['scrap', 'scraping']","['fees', '%', 'schools', 'bottom', 'draw']"
sail,"['sail', 'sails']","['boats', 'vessel', 'sail']"
disprove,"['disprove', 'disproves', 'disproving']","['relativity', 'eternity', 'qad', 'being', 'lawla', 'view']"
visualise,"['visualise', 'visualised']","['dress', 'journeys']"
regenerate,"['regenerate', 'regenerating']","['ideology', 'ethyne', 'memory']"
erect,"['erect', 'erected']","['head', 'house', 'side', 'monarch', 'fence', 'statues', 'temple']"
commission,"['commission', 'commissioning']","['package', 'work', 'organisations', 'care']"
suppress,"['suppress', 'suppressing']","['thoughts', 'action', 'curiosity', 'dissent', 'insurrections', 'revolution', 'vote', 'anger', 'desires', 'opinions']"
dismiss,"['dismiss', 'dismissing']","['members', 'action', 'charge', 'practices', 'outcome', 'aesthetics', 'fears', 'suits', 'medium', 'guys', 'claim', 'ups', 'viewpoint']"
deepen,"['deepen', 'deepening']","['insight', 'bha', 'relationships', 'understanding', 'relationship', 'exploiting', 'contacts']"
downplay,"['downplay', 'downplayed']","['value', 'illness', 'doctors', 'negatives', 'worries', 'interest']"
affirm,"['affirm', 'affirming']","['existence', 'values', 'things', 'commitment', 'life']"
reinstate,"['reinstate', 'reinstated']","['reputation', 'millions', 'heads', 'up', 'days']"
say,"['say', 'says']","['take', 'people', 'family', 'goodbye', 'prayer', '""al-aqqad""', 'whoever', 'illa', 'desires', 'fellow', 'sunna', 'brother', 'something', 'smiles', 'answer', 'phd', 'manual', 'anhu', 'motto', 'vulgarity', 'teaching', 'brohier', 'ntsika', 'lady', 'study', 'exec', 'sign', 'numbers', 'singer', 'comment', 'manager', 'science', 'rider', 'officer', 'person', 'anyone', 'paramedic', 'director', 'source', 'legend', 'planner', 'pyle', 'son', 'report', 'list', 'management', 'umpire', 'no', 'group', 'administration', 'leader', 'hona', 'foreigner', 'someone', 'lot', '06/11/12', '09:44am', 'therealdave', '10:11am', '10:34am', '10:42am', '02:50pm', 'woman', 'fact', 'smile', 'audibility', 'arts', 'knowledge', 'things', 'time', 'nothing', 'tagline', 'fla', 'constitution', 'court', 'part', 'http', 'somebody', 'kippa', 'specification', 'president', 'man', 'commentary', 'prophet', 'religion', 'anything', 'amount', 'statement', 'workplace', 'words', 'one', 'stations', 'product', 'cost', 'credit', 'song', 'jasmin', '05:48pm', 'machine', '03:32pm', 'null', '@geoff', 'xyz', 'sarah', 'h', 'peterjthrees', '08:33pm', 'podrick', 'album', 'fizzychip', 'k', '04:42pm', 'mat', 'stoket01', '02:26pm', 'swamp', '04:53am', 'rest', 'frog', 'sif', '03:02pm', '03:13pm', 'beef', '08:45pm', 'heather', 'line', 'whoa', 'andy', 'steven', 'frosty', 'regrets', 'rach', 'blake', 'watch', 'hero', 'daryls', 'verse', 'maid', 'mother', '07:33am', 'krontekag', 'mik', 'stephen', 'sg', 'ana', 'ange', 'symptoms', 'everyday', '08:16am', 'ryan', 'acotrel', '10:06am', '10:09am', 'badger', '03:30pm', '09:34pm', 'shane', '06:44am', 'b', '03:08pm', '07:34am', '08:01am', '09:18am', '02:04pm', 'roo', '01:12pm', '02:14pm', '02:18pm', 'monty', 'kidday', 'saunders', '02:15pm', '02:39pm', 'melle', '02:40pm', '03:38pm', '03:54pm', '04:06pm', '04:52pm', 'mrtiedt', '05:31pm', 'bobw', 'leftrightout', 'wolf', '05:23pm', 'gisseppe', '02:06pm', '03:27pm', '04:24pm', 'mel', 'jb', 'atthepub', 'fairsfair', '02:52pm', 'ben81', '02:13pm', '02:36pm', '03:16pm', 'l', 'voter', '07:22pm', 'anubis', '01:44pm', 'boby', 'robj', '01:45pm', '02:02pm', 'mickijo', '01:56pm', 'nihonin', '03:24pm', '02:41pm', '08:14pm', '02:09pm', '03:50pm', '05:17pm', '09:55pm', 'tax', '02:30pm', '02:58pm', '03:42pm', 'observer', 'nossy', '02:44pm', '03:03pm', '07:31pm', '04:46pm', 'casba', 'botboy', '03:45pm', '03:20pm', '03:48pm', '04:22pm', '04:39pm', 'sid', '04:00pm', 'poa', '03:15pm', '05:24pm', '04:08pm', '06:07pm', '10:04am', '05:01pm', '07:06pm', '05:16pm', '05:45pm', 'seduxen', '05:56pm', '06:39pm', '07:19pm', 'kosmiester', '06:42am', '09:42pm', 'rips', '@sick', '05:25am', 'bullea', '09:43am', '08:58pm', '05:41pm', '11:09am', 'zac', 'friend', 'ball', 'news', 'comments', '11/01/12', 'classic', '03:22pm', 'tommo', 'bugger', '06:23pm', '12:04pm', '03:33pm', '01:26pm', 'mahhrat', '04:12pm', 'r', 'trash', 'marley', 'chuck', 'omg', 'prosperity', '09:42am', 'jhamiltonwa', 'pew', '03:21pm', '07:31am', '09:11am', 'mags', 'artvandalay', 'th', 'text', 'ways', 'page', 'information', 'pawlenty', 'statute', 'company', 'performance', 'complainant', 'women', 'treatment', 'journey', 'student', 'touch', 'files', 'dad', 'research', 'regulator', 'bulletin', 'obligations', 'banker', 'municipality', 'amounts', 'art', 'story', 'executive']"
suppose,"['suppose', 'supposed']","['music', 'administration', 'uneasiness', 'dumps', 'truth', 'constitution', 'olds', 'colors', 'products', 'study', 'universe', 'waves', 'speed', 'arguments', 'tools', 'governments', 'addicts', 'arrangements', 'ombudsman', 'ideologies', 'world', 'love', 'banks', 'triam', 'fringe', 'community', 'collection', 'insurance', 'system']"
balance,"['balance', 'balances', 'balancing']","['hair', 'soil', 'factors', 'emotions', 'budget', 'posts', 'warming', 'poignancy', 'benefits', 'interests', 'stick', 'fish', 'pedals']"
anchor,"['anchor', 'anchors']","['bouncer', 'geography', 'importance']"
spawn,"['spawn', 'spawns']","['hordes', 'party', 'window', 'bookmarks']"
sever,"['sever', 'severing']","['relations', 'relation', 'links', 'charges', 'bonds', 'ties', 'charities', 'friends']"
delight,"['delight', 'delighted']","['people', 'sort', 'scholars', 'sesquipedalian']"
inherit,"['inherit', 'inheriting']","['people', 'responsibilities', 'offspring', 'vitality', 'nature', 'lead', 'throne']"
isolate,"['isolate', 'isolates', 'isolated']","['groups', 'restrictions', 'script', 'delay', 'report', 'police', 'powers']"
identify,"['identify', 'identifying']","['frame', 'cure', 'year', 'sequence', 'strengths', 'challenges', 'users', 'e', 'victim', 'location', 'types', 'anyone', 'person', 'self', 'requirement', 'column', 'people', 'ieds', 'techniques', 'students', 'size', 'areas', 'deal', 'switch', 'elegance', 'experiences', 'years', 'abuser', 'risks', 'sources', 'works', 'anything', 'demands', 'installation', 'role', 'concerns', 'witnesses', 'institutions', 'mtas', 'number', 'causes', 'thoughts', 'opportunities', 'trouble', 'spots', 'millions', 'factors', 'code', 'interventions', 'dependence', 'issues', 'fronts', 'injuries']"
awaken,"['awaken', 'awakens']","['hope', 'editorial', 'dragon']"
save,"['save', 'saves', 'saved']","['file', 'script', 'kids', 'tsking', 'cereals', 'law', 'frustration', 'homeowner', 'month', 'place', 'lives', 'time', 'mob', 'doors', 'everyone', 'couple', 'anyone', 'one', 'life', 'progress', 'capitalism', 'veterans', 'm', 'frome', 'attack', 'years', 'images', 'list', 'master', 'youth', 'feet', 'form', 'relationships', 'shot', 'thousands', 'people', 'husband', 'minutes', 'man', 'marriage', 'feedback', 'industry', 'city', 'hugs', 'souls', 'feeding', 'plot', 'ice', 'outcry', 'trouble', 'money', 'someone', 'therapy', 'estimates', 'day', 'food', 'foods', 'jobs', 'track', 'screenshots', 'print', 'work', 'photos', 'faults', 'year']"
designate,"['designate', 'designating']","['accounts', 'resources', 'killer']"
opt,"['opt', 'opted']","['employees', '%', 'companies', 'photo', 'concept', 'people', 'in', 'majority', 'selectors', 'leaders', 'councils', 'council']"
rotate,"['rotate', 'rotating']","['stage', 'screen', 'maze', 'crystals', 'room', 'map', 'summer', 'locations', 'positions']"
destroy,"['destroy', 'destroyed']","['anyone', 'earth', 'panel', 'progress', 'islam', 'power', 'crops', 'group', 'relationship', 'signification', 'courage', 'marriage', 'tank', 'fall', 'security', 'hat', 'targets', 'stone', 'israel', 'economy', 'vesteges', 'support', 'fires', 'habitat', 'mess', 'everything', 'anybody', 'planet', 'woman', 'drought', 'farming', 'forecasts', 'melt', 'nothing', 'truth', 'materials', 'shipments', 'desire', 'u', 'will', 'brothers', 'life', 'bugs', 'others', 'excuses', 'ones', 'men', 'myth', 'man', 'enemies', 'craving', 'eye', 'birth', 'results', 'means', 'opportunities', 'opportunity', 'vant', 'form', 'mechanism', 'medley', 'addiction', 'pride', 'armaments', 'nose', 'bowlers', 'world', 'science', 'conception', 'makeover', 'elite', 'unions', 'village', 'place', 'months', 'house', 'run', 'country', 'property', 'inflation', 'value', 'people', 'factories', 'aircraft', 'city', 'airpower', 'raid', 'heart', 'kilometres', 'workers', 'shipment', 'raids', 'nation', 'acetylides', 'trees', 'monument', 'bridge']"
shoulder,"['shoulder', 'shouldered']","['hip', 'responsibility', 'bags']"
confront,"['confront', 'confronts']","['fears', 'leash', 'disdain', 'state', 'beliefs', 'issue']"
squander,"['squander', 'squandered']","['chance', 'wealth', 'chances']"
deal,"['deal', 'deals']","['tower', 'damage', 'incompetence', 'police', 'cannabis', 'courts', 'people', 'evidence', 'fans', 'level', 'advertisers', 'decisions', 'court', 'body', 'deposits', 'surf', 'camp', 'laws', 'change', 'thought', 'cards', 'day', 'servers', 'series', 'scenarios', 'leaflet', 'miscalculation', 'business', 'time', 'study']"
repudiate,"['repudiate', 'repudiates', 'repudiated']","['elements', 'insinuation', 'one', 'evidence', 'testimonies', 'testimony', 'manners', 'hygiene']"
invoice,"['invoice', 'invoiced']",['line']
manifest,"['manifest', 'manifested']","['person', 'sensations', 'pride', 'result', 'creation', 'internalization', 'preference', 'practice', 'science', 'talent', 'demands', 'rise']"
ignore,"['ignore', 'ignores', 'ignored']","['mixer', 'parents', 'people', 'practicalities', 'fact', 'complications', 'illness', 'rules', 'item', '%', 'atrocities', 'decision', 'words', 'difference', 'scheming', 'investors', 'inequality', 'sorts', 'discussions', 'elephant', 'everyone', 'heart', 'holocausts', 'input', 'idiots', 'evidence', 'governments', 'phase', 'kinship', 'advice', 'premises', 'listening', 'cost', 'meter', 'pot', 'reflection', 'piece', 'bullying', 'sim', 'code', 'government', 'laws', 'seconds', 'function', 'contents', 'order']"
overcook,"['overcook', 'overcooking']","['stalls', 'spaghetti', 'meat', 'proportion']"
